date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:35	5232/5232	------	404	error ('Not%20Found')	text/html	etag:W/%226272da93-247b%22	https://yell0wsuit.github.io/robots.txt		(from )
14:42:35	6259/6259	------	200	untouched ('OK')	text/html	etag:W/%22623bd5af-1873%22	https://yell0wsuit.github.io/	C:/My%20Web%20Sites/yell0wsuit.github.io/yell0wsuit.github.io/index.html	(from )
14:42:35	14836/14836	------	200	untouched ('OK')	text/css	etag:W/%22623bd5af-39f4%22	https://yell0wsuit.github.io/css/style.css	C:/My%20Web%20Sites/yell0wsuit.github.io/yell0wsuit.github.io/css/style.css	(from https://yell0wsuit.github.io/)
14:42:35	318825/318825	------	200	untouched ('OK')	text/css	etag:W/%22623bd5af-4dd69%22	https://yell0wsuit.github.io/css/pro.min.css	C:/My%20Web%20Sites/yell0wsuit.github.io/yell0wsuit.github.io/css/pro.min.css	(from https://yell0wsuit.github.io/)
14:42:35	162017/162017	------	200	untouched ('OK')	text/css	etag:W/%22623bd5af-278e1%22	https://yell0wsuit.github.io/css/bootstrap.min.css	C:/My%20Web%20Sites/yell0wsuit.github.io/yell0wsuit.github.io/css/bootstrap.min.css	(from https://yell0wsuit.github.io/)
14:42:35	89501/89501	------	200	untouched ('')	application/javascript	etag:W/%22623bd5af-15d9d%22	https://yell0wsuit.github.io/scripts/jquery.min.js	C:/My%20Web%20Sites/yell0wsuit.github.io/yell0wsuit.github.io/scripts/jquery.min.js	(from https://yell0wsuit.github.io/)
14:42:35	45249/45249	------	200	untouched ('OK')	text/html	etag:W/%22623bd762-b0c1%22	https://yell0wsuit.github.io/html5-games/	C:/My%20Web%20Sites/yell0wsuit.github.io/yell0wsuit.github.io/html5-games/index.html	(from https://yell0wsuit.github.io/)
14:42:35	5680/5680	------	200	untouched ('OK')	text/html	etag:W/%22623bd5af-1630%22	https://yell0wsuit.github.io/english.html	C:/My%20Web%20Sites/yell0wsuit.github.io/yell0wsuit.github.io/english.html	(from https://yell0wsuit.github.io/)
14:42:35	23728/23728	------	200	untouched ('')	image/webp	etag:%22623bd5af-5cb0%22	https://yell0wsuit.github.io/images/12.webp	C:/My%20Web%20Sites/yell0wsuit.github.io/yell0wsuit.github.io/images/12.webp	(from https://yell0wsuit.github.io/)
14:42:35	60524/60524	------	200	untouched ('')	image/webp	etag:%22623bd5af-ec6c%22	https://yell0wsuit.github.io/images/21.webp	C:/My%20Web%20Sites/yell0wsuit.github.io/yell0wsuit.github.io/images/21.webp	(from https://yell0wsuit.github.io/)
